新聞,#genre#

東森財經新聞,tvbus://7SLqnsy9jpAzqugrzTQGtsfPaRkW1pRi1wiQ44hmy5coCgZWtG#tvbus://8EtmkwuxyBJgEMYSXqZFJ77Mfy6S5H931LZSM33F3sfgcBJgHo#tvbus://8YKVxSkFyiKr5bZX9fNk9mhqS8Zx72xWw1Y1Pivfkuq5yzj9Yc#tvbus://8fMdBzotQiVzgFA5MANp3Frz9t5n9iLSCmWgPYnfPtrwnEt3w2#tvbus://6uvqZA7yduuG9gq1EyFmvDMRWst5hXz38dpCqMzUTSbu4LWCcw#tvbus://7PGoZmmQkfwJvpxidCmhHU2tb2Qpm5YVPP8D27KEt1uUvF9EWE#tvbus://5ne7q3NMaAD8Ziy25puFWQMgfS6WW2699ASVjk1gzEmoi7MsAo36sJnaSjFkr
非凡新聞,tvbus://8hvSoaq5ExzUysN3NQhiBX3nrsCqZYMSHrFgJeZqsaRMB5bGUq#tvbus://73xq5ZEYqXCd4CB5w7eTjhnP3XEeNTBmSz9QJfRgi8JX6MAnYx#tvbus://7ZDsZvENatTKfFgphRCfcCSxG7QA69F4jt8wpsekTMLh6RZrKh#tvbus://6x4fRFAyjhqWjArUVzwy2QZqpLiEgsHd81FzXEQC4YdmfeoUVo#tvbus://7q5oTkhUWw6gvSR2AVGaP542aF4DzPAyydqF2ZgyrffqJJwWnL#tvbus://7CtUY9rRps3HwNva55Sw5U6JK2j3GnX5yYQHm1p1c33BWRvj6Q#tvbus://6H2PmemfDiyqvqyefVd3xUTR41kipN8nnbt1PGyt4Yq3A9jiEJ6tYaHociusM
壹電視新聞,tvbus://8MUCNHnQ6XnFRAyVnKcRsoJQrj7V3FyZcT5Tmr4PxDhfuf5Cac#tvbus://8JtrQzEXuEeVd3k5cAv3aYvbgSMQon1fCfb7nW3nV63THspYJP#tvbus://65ryeDVn2PVGQ73fHGSGkMqxxwXydqegpMT3Kv3w2aJp3zK921rJCLsvK5car#tvbus://5x9sknJgFF5tyZFmAATSabfX8EWJeUqh9jMajzZmqGfStzgH63S65Dio3WdPv#tvbus://6RG54MwymkPPzUQ479WCB9hr5BLwDyt9xNedKdmeT6yspRbwtLYTXmUvkM73Q
年代新聞台,tvbus://74MB7a5kGk5Cbnct2qJASHeK6GYrtcbawuEuuejtL2iAJkNVoj#tvbus://74QBUuK5Z1sDP4yuQAQCMcrbK2F5DMzjSjnc7Ewojzn2V4kCiK#tvbus://8ieWZ9f18JrbCeF4CW3G25h48obsv2AvHVX5LBHM5fcyP2P9Ng#tvbus://6ygqq5nXbGJpXbCHYrqQmHsQmzb7Dngt6Y9z2hDYarBkB1MVBm#tvbus://795mShmCxV7ADT29YhLBwokvt57ghdUH12ECZR3wN5FMXusV7N#tvbus://7KHa7sv7xXRmBrHwaemCkq4xf49fmPVuEEcCQwWPR2t6kFFWXa#tvbus://6eyoMUSgMdqLQ85ogrctqsXoQ6WmJTtuKWAe8Qd6R9LCBfmeQmvPVoUdxza51
三立新聞台,tvbus://8eTvXoNzJPmcw6HvtCVMJ4wvTeuBNcVqwQsBwY5jLWTHLLXyVr#tvbus://8fgwfy8LNW2ytQinXNyybJ2JTvV5r6FRQG3J4Us8ZXxdYWwoBE#tvbus://8dCw91U4FVKtpiczSqjveLPAHa6e8hAMkXnvkp4RAkezwFBUJi#tvbus://7FGHmpmY4JyxjrJ2nKpyuRE8zLpnaw2ZGmRkYaqNpF8WYT7KZ4#tvbus://8dFhBRAtzZDLX6f1E5RCxrMHqbPLWbq6VduEpAYP8P9Lf7RnpH#tvbus://7GsfpHGDVu6ijp3qNqZ84GRaYWFWLffnz2VWBPFsCw3Z3CQCKg#tvbus://5UKsrc8vjqZBpQ1cG6GRRmJ5YjwhPbRumf2hLx4k25cjP8TMpo1Jso925YwXS
民視新聞台,tvbus://8YCTFi7kMxVWz7oybQLnJ3HWFkvxvCyzaAAWHHZYfg2goP2cr2#tvbus://7rCTwXHcZLxqgFFx1X5BYpFLQ55tZzjLWQCHn8Vm6kVb2xSVw7#tvbus://6zEiCGXFVSMy3kCi9pYQxXp7qap8fSyxPaRvEazKaBQSGwHPWL#tvbus://7oCgWK6D8GN5rJFHzraz8M1PMLf9JGqVrENG5NkDUn3pYoYKp7#tvbus://8Ty6By4g6Y4by9UbEtyx2LYBU3jEuPQJ2F1VXuCs7yf1txvYEN#tvbus://7Ef3jqaoCM3RFypAt6stoeLm9YbCLr8ELAFEui9n9DnsPHCcZi#tvbus://6LnacdfQ8bG4TVdB8TXSgcJgk8DvMyWnvqxMrtp1uEEDu57EF746HK1BmVmhU
寰宇新聞台灣台,tvbus://8jWQgQXXSQ4oc6Vyphu3sZsqmbE8yy25aNyKheYxyTnNqqAt1p#tvbus://6umW85Gv3sqEZyaiVx2w51ZLDAyPAMupDP8qHXzPvYpVfwCmxh#tvbus://6eJZbe5dMCy6P6wHMHsextD29S4u9p2PympqMgG8zv7NgGGsrSEvpKFzpq6fX#tvbus://6G9La8eXEajt32EsgtUpBVWc6AQi1fV59Wrz8yYvEkxGprXPUqLyAjYEChSfQ#tvbus://611uFAfUVHRPtK28L8EQP84HEU3e9CF8miJNeoSfVSqyDVw1KCNDbsKr1qPHz
鏡新聞,tvbus://84dn5FWas3rkF4yABzNwMW1Z4J55PmUZk3E9zAr2kWCM6MEzY6#tvbus://8djHa4vejTjdEiMkKx2HhxNLgjAZvjC98gvYPGA2xdzjiVgSXX#tvbus://5ocwEM8SdUnWJn5RTC8mMMJC6Zf5VpzuyFPuWk1Vu2ZW759qVwG3vpiL86Woy#tvbus://5RLtCouM5iE5n9HTFrFvxyp2pDYL4VdfqmoDYh7b5XASZFkgTjhNf3dPPxUNa#tvbus://66AUnRThQo4cyQSSBdni3wKXkzMUG3YEHU1w6eXsz2qUAnU3bsnFxEYyCVxdB
東森新聞,tvbus://7QRT1G4YH3c8gMm1JA611dBbm4vHJ2S8cVjuDSzMtkcdPgAy3r#tvbus://7AWQxjV8s5jUAD47rEHAfJh1UfEEcDLm5hY4wfKpVb5UWhMUhu#tvbus://6uYmHSMV7HXv5zfQmpRseSFYbjEEz61CULKXx9Z93vXAwytwS6#tvbus://7N34Rcwv6Hrv3Fe77buP1PxAddCETPDV3KBKr2CVZncCZBxB8p#tvbus://7aXEdzSiSvbhQX4qCyEuz7HqHDmxEDRgdXMEPW4C5PTfLkR7s7#tvbus://7Eav5id5K7Y2VG99QRsfqCLpMBwYE2AMzFYgR7AWtt3CHZhtkM#tvbus://63RfkhyVD1tQV8HDZ6P6dCR8VvsUv54KxG7s52PwrmxrFTZi9GiKxMSfFv2Hr
